,,,,,,,Active Nosepokes ,,,,,,,,,,,,,,,Inactive Nosepokes ,,,,,,,,,,,,,,,Pellets Earned ,,,,,,,,,,,,,,,Pellets Consumed ,,,,,,,,,,,,,,
Group,ID,Sex,FR1 Training Days ,Met Criteria,Days to criterion,Total days of training ,Active_Nosepokes_Day1,Active_Nosepokes_Day2,Active_Nosepokes_Day3,Active_Nosepokes_Day4,Active_Nosepokes_Day5,Active_Nosepokes_Day6,Active_Nosepokes_Day7,Active_Nosepokes_Day8,Active_Nosepokes_Day9,Active_Nosepokes_Day10,Active_Nosepokes_Day11,Active_Nosepokes_Day12,Active_Nosepokes_Day13,Active_Nosepokes_Day14,Active_Nosepokes_Day15,Inactive_Nosepokes_Day1,Inactive_Nosepokes_Day2,Inactive_Nosepokes_Day3,Inactive_Nosepokes_Day4,Inactive_Nosepokes_Day5,Inactive_Nosepokes_Day6,Inactive_Nosepokes_Day7,Inactive_Nosepokes_Day8,Inactive_Nosepokes_Day9,Inactive_Nosepokes_Day10,Inactive_Nosepokes_Day11,Inactive_Nosepokes_Day12,Inactive_Nosepokes_Day13,Inactive_Nosepokes_Day14,Inactive_Nosepokes_Day15,Pellets_Earned_Day1,Pellets_Earned_Day2,Pellets_Earned_Day3,Pellets_Earned_Day4,Pellets_Earned_Day5,Pellets_Earned_Day6,Pellets_Earned_Day7,Pellets_Earned_Day8,Pellets_Earned_Day9,Pellets_Earned_Day10,Pellets_Earned_Day11,Pellets_Earned_Day12,Pellets_Earned_Day13,Pellets_Earned_Day14,Pellets_Earned_Day15,Pellets_Consumed_Day1,Pellets_Consumed_Day2,Pellets_Consumed_Day3,Pellets_Consumed_Day4,Pellets_Consumed_Day5,Pellets_Consumed_Day6,Pellets_Consumed_Day7,Pellets_Consumed_Day8,Pellets_Consumed_Day9,Pellets_Consumed_Day10,Pellets_Consumed_Day11,Pellets_Consumed_Day12,Pellets_Consumed_Day13,Pellets_Consumed_Day14,Pellets_Consumed_Day15
A,23549-3,F,13,No,N/A,13,7,9,13,12,12,10,12,10,9,9,10,12,12,,,5,0,2,11,10,4,10,2,6,2,3,4,2,,,7,9,13,12,12,10,12,10,9,9,10,11,12,,,7,9,13,12,12,10,12,10,9,9,9,11,12,,
A,23545-1,F,12,No,N/A,12,6,6,6,8,8,5,9,8,7,8,9,5,,,,3,8,0,2,9,6,3,7,5,2,7,3,,,,6,6,6,8,8,5,8,8,7,8,9,5,,,,6,6,6,8,8,5,8,8,7,8,9,5,,,
A,23545-2,F,12,No,N/A,12,7,11,13,9,10,10,14,15,10,10,9,9,,,,4,6,9,1,4,5,5,5,3,8,7,4,,,,7,11,12,9,10,10,14,14,9,10,9,9,,,,7,11,12,9,10,10,14,14,9,10,9,9,,,
A,23546-4,F,12,No,N/A,12,10,9,4,6,8,8,8,7,9,9,9,8,,,,9,5,9,3,8,1,2,4,5,4,3,7,,,,8,9,4,6,8,8,8,7,9,9,9,8,,,,8,9,4,6,8,8,8,7,9,9,9,8,,,
A,23546-5,F,12,No,N/A,12,7,7,7,7,9,9,7,10,7,9,9,11,,,,4,12,22,15,5,7,6,15,6,5,6,9,,,,7,7,7,7,9,8,7,10,7,9,9,11,,,,7,7,7,7,9,8,6,10,7,9,9,11,,,
A,23660-13,F,14,No,N/A,14,11,17,12,12,14,12,24,16,14,14,14,16,11,10,,2,4,7,7,6,6,2,6,9,3,2,6,4,8,,10,17,11,12,14,11,24,16,14,13,14,16,11,10,,10,17,11,12,14,11,24,16,14,12,14,16,10,10,
A,23660-15,F,10,Yes,10,10,8,8,9,11,10,12,16,10,12,16,,,,,,4,1,1,8,3,3,8,4,3,3,,,,,,7,8,9,10,10,12,16,9,12,16,,,,,,6,8,9,10,10,12,16,9,12,15,,,,,
A,23660-16,F,9,Yes,9,9,4,7,7,9,11,12,17,12,11,,,,,,,1,9,2,1,7,6,4,2,2,,,,,,,3,6,6,8,11,11,17,12,10,,,,,,,3,6,6,8,10,11,15,11,8,,,,,,
A,23660-18,F,14,No,N/A,14,7,10,8,11,10,13,15,14,14,10,14,11,4,10,,1,8,5,1,6,5,3,4,5,9,5,6,25,3,,6,10,8,11,9,13,15,13,14,10,14,11,4,10,,6,10,6,8,8,12,14,11,7,9,12,11,4,9,
A,23662-23,F,14,No,N/A,14,5,11,9,11,13,10,17,9,8,11,13,13,12,15,,4,11,2,27,16,2,28,5,4,4,10,8,6,10,,4,10,9,10,13,9,17,9,8,11,13,13,12,15,,4,10,9,10,13,9,17,9,8,10,12,13,12,12,
A,23549-1,M,6,Yes,6,6,5,4,6,5,9,8,,,,,,,,,,2,0,3,3,2,2,,,,,,,,,,5,4,6,5,8,8,,,,,,,,,,5,4,6,5,8,8,,,,,,,,,
A,23549-2,M,14,No,N/A,14,8,8,7,13,9,14,11,13,13,14,12,12,9,10,,3,4,6,8,2,5,1,4,4,5,4,6,3,4,,8,8,7,13,8,14,11,13,13,13,12,12,8,10,,8,8,7,13,8,14,10,13,13,13,12,12,8,10,
A,23549-4,M,14,No,N/A,14,8,8,5,10,10,11,11,12,8,8,10,12,11,13,,5,7,7,4,8,5,5,7,4,11,9,10,9,5,,8,8,5,10,10,11,11,12,8,7,10,12,11,12,,4,8,5,10,10,11,11,12,8,7,9,12,11,12,
A,23549-5,M,6,Yes,6,6,6,6,10,9,10,11,,,,,,,,,,5,3,1,4,2,0,,,,,,,,,,6,6,9,8,10,11,,,,,,,,,,6,6,9,8,10,11,,,,,,,,,
A,23549-6,M,14,No,N/A,14,5,8,10,10,8,14,11,15,7,8,10,10,13,10,,0,0,5,10,5,7,6,4,1,4,5,3,7,3,,4,8,9,10,8,14,11,15,7,8,10,10,13,10,,4,8,9,9,8,14,11,15,7,8,10,10,13,10,
B,23554-3,F,13,No,N/A,13,9,9,7,10,8,9,7,7,11,6,8,6,8,,,3,8,2,4,9,6,4,6,4,1,3,3,4,,,8,8,7,10,8,9,6,7,10,6,8,5,8,,,8,8,7,10,8,8,6,7,10,6,8,5,8,,
